source_document,page,feature,normalized_feature
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,"2. ThisproductincludessoftwaredevelopedbytheOpenSSLProjectforuseintheOpenSSLToolkit.(openssl.org),andcryptographicsoftware","2. thisproductincludessoftwaredevelopedbytheopensslprojectforuseintheopenssltoolkit.(openssl.org),andcryptographicsoftware"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,writtenbyEricYoung(eay@cryptsoft.com).,writtenbyericyoung(eay@cryptsoft.com).
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,3,3. Fordetectionoftamperingattemptsinstaticandnon-crowdedscenes.,3. fordetectionoftamperingattemptsinstaticandnon-crowdedscenes.
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Environment Power,environment power
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"IEC/EN60529IP66,IEC/EN60529IP67, PoweroverEthernet(PoE)IEEE802.3af/802.3atType1","iec/en60529ip66,iec/en60529ip67, poweroverethernet(poe)ieee802.3af/802.3attype1"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"IEC/EN62262IK10, Class1","iec/en62262ik10, class1"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"IEC60721-3-5Class5M3(vibrationandshock), Typical2.2W,max3.8W","iec60721-3-5class5m3(vibrationandshock), typical2.2w,max3.8w"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"IEC60068-2-1,IEC60068-2-2,IEC60068-2-27,","iec60068-2-1,iec60068-2-2,iec60068-2-27,"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"IEC60068-2-64,IEC60068-2-78,IEC60068–2–14","iec60068-2-64,iec60068-2-78,iec60068–2–14"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Connectors,connectors
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"RJ45:male,10BASE-T/100BASE-TX","rj45:male,10base-t/100base-tx"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,"Network M12:female,rugged,D-codedwithrotatablecoupling","network m12:female,rugged,d-codedwithrotatablecoupling"
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,NISTSP500-267 nut,nistsp500-267 nut
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,AllconnectorssupportPoE,allconnectorssupportpoe
datasheet-axis-m3905-r-dome-camera-en-US-506723.pdf,4,Cybersecurity,cybersecurity
