normalized_feature,document_4,document_3,document_2,document_1
minimum 4mp withir:0luxinmonochromemode withir:0luxinmonochromemode,missing,missing,present,missing
minimum illumination,missing,missing,missing,present
minimumfocusdistance:0.3m(1ft),missing,missing,missing,present
mm,missing,missing,present,missing
mode,missing,missing,present,missing
mode person,missing,missing,present,missing
"mode, timelapse, rtsp",present,present,missing,missing
"mode1,otherwise25fps/30fps",missing,missing,present,missing
mode;0.008luxincolormode,missing,missing,present,missing
mode;0.02luxincolormode,missing,missing,present,missing
model,missing,missing,missing,present
model mp wdr lightcatcher lens ir analytics hdsm microphone,missing,missing,present,missing
model number description cost (msrp) usd,present,present,missing,missing
model number mp1 wdr lens ir range storage sq onboard vehicle (msrp) usd,present,present,missing,missing
monitoring indoor environments,present,present,missing,missing
motiondetection pixelmotion:selectablesensitivityandthreshold.classifiedobjectdetection,missing,missing,present,missing
"motorolasolutions,inc.500westmonroestreet,chicago,il60661u.s.a.motorolasolutions.com",missing,missing,present,missing
"motorolatrademarkholdings,llcandareusedunderlicense.allothertrademarksarethepropertyoftheirrespectiveowners.",missing,missing,present,missing
mounting,missing,missing,missing,present
mountingscenario orderinginformation,missing,missing,present,missing
mountplate: 140g / 4.94oz,present,present,missing,missing
mqttpublish,missing,missing,missing,present
mqttsubscribe australia/newzealand:rcmas/nzscispr32classa,missing,missing,missing,present
"mqttv3.1.1,syslog,link-localaddress(zeroconf) wdrmode",missing,missing,missing,present
"multiple,individuallyconfigurablestreamsinh.264,",missing,missing,missing,present
ndaa compliant,present,present,missing,missing
ndaacompliant,missing,missing,missing,present
"near darkness. because it strips away noise, lightfinder",missing,missing,missing,present
network,missing,missing,present,present
"network 100base-txforh6a,1000base-tforh6x",missing,missing,present,missing
"network m12:female,rugged,d-codedwithrotatablecoupling",missing,missing,missing,present
network protocols emailandnetworkshare,missing,missing,missing,present
"network security height:50mm(1.97in),ø110mm(4.33in)",missing,missing,missing,present
nistsp500-267 nut,missing,missing,missing,present
"nowdr:1/17000sto1/5s compression,brightness,sharpness,contrast,white",missing,missing,missing,present
"ntp,ptp,rtsp,rtp,srtp,tcp,udp,igmpv1/v2/v3, recordvideo:sdcardandnetworkshare",missing,missing,missing,present
numbers,missing,missing,missing,present
"object,oravehicle.",missing,missing,missing,present
objectappearsorenters theeventistriggeredbyeachobjectthatenterstheregionofinterest.,missing,missing,present,missing
objectloitering theeventistriggeredwhentheselectedobjecttypemovesintotheregionofinterestandthenstaysforanextended,missing,missing,present,missing
objectnotpresentinarea theeventistriggeredwhennoobjectsarepresentintheregionofinterest.,missing,missing,present,missing
objects.,missing,missing,present,missing
objectscrossingbeam theeventistriggeredwhenthespecifiednumberofobjectshavecrossedthedirectionalbeamthatisconfiguredover,missing,missing,present,missing
objectsenterarea theeventistriggeredwhenthespecifiednumberofobjectshaveenteredtheregionofinterest.,missing,missing,present,missing
objectsinarea theeventistriggeredwhentheselectedobjecttypemovesintotheregionofinterest.thiseventcanbeusedtocount,missing,missing,present,missing
objectsleavearea theeventistriggeredwhenthespecifiednumberofobjectshavelefttheregionofinterest.,missing,missing,present,missing
objectstopsinarea theeventistriggeredwhenanobjectmovesintoaregionofinterestandthenstopsmovingforthespecifiedthreshold,missing,missing,present,missing
objecttypesinindoor person,missing,missing,present,missing
"objecttypesinoutdoor vehicle,sub-types:car,pickuptruck,largetruck,van,bicycle,motorcycle,bus",missing,missing,present,missing
observe 63px/m(19px/ft) 20.1m(65.9ft),missing,missing,missing,present
observe 63px/m(19px/ft) 7.4m(24.3ft),missing,missing,missing,present
"offer features to protect the device’s identity, safeguard",missing,missing,missing,present
ofimages,missing,missing,missing,present
ofviewbasedon (4:3)35°–78° (4:3)11°–31°,missing,missing,present,missing
onboard cost,present,present,missing,missing
onboardstorage3 twomicrosd/microsdhc/microsdxcslots–videospeedclasscardrequired.classv10orbetterrecommended.,missing,missing,present,missing
one-clickcloudconnection applications,missing,missing,missing,present
onscreencontrols,missing,missing,missing,present
"onvif onvif®complianceprofiles,profilet,profilemandprofileg(www.onvif.org)",missing,missing,present,missing
"onvif®profileg,onvif®profilem,onvif®profiles included",missing,missing,missing,present
"openapiforsoftwareintegration,includingvapix® analytics",missing,missing,missing,present
operating poe -10°cto+55°c(-14°fto -30°cto+65°c(-22°fto149°f)withieee802.3afclass3(13wpoe),missing,missing,present,missing
operating temperature -10°c to 50°c / 14°f to 122°f led indicator system power and status indicator,present,present,missing,missing
optional:,missing,missing,present,missing
ordering information,present,present,present,missing
"os, the device is also able to validate new device",missing,missing,missing,present
other,missing,missing,missing,present
outdoor 1.59kg;3.5lbs 1.99kg;4.38lbs 2.01kg;4.43lbs,missing,missing,present,missing
outdoor powdercoatgrey(pantone427c) plasticinjectionmoldgrey powdercoatgrey(pantone427c),missing,missing,present,missing
outline dimensions,missing,missing,present,missing
"overlay,32individualpolygonalprivacymask,mirroring",missing,missing,missing,present
overview,present,present,missing,missing
pan/tilt/zoom,missing,missing,missing,present
pan:±30°,missing,missing,missing,present
partnumbers,missing,missing,missing,present
pendantnptmount orderoneof:,missing,missing,present,missing
pendantwallmount orderoneof:,missing,missing,present,missing
"people analytics motion search, trajectory analysis sharing and privacy",present,present,missing,missing
people and vehicles. the cd22 is optimized for covering spaces like storage closets and store aisles where supplemental,present,present,missing,missing
"people detection, vehicle detection,",present,present,missing,missing
performanceinallconditions.,missing,missing,present,missing
peripherals,missing,missing,present,missing
pixelcounter,missing,missing,missing,present
pixelsize2.8µm 16:10:1280x800to640x400,missing,missing,missing,present
platform that safeguards the axis device. it forms the,missing,missing,missing,present
plmt-1001 polemountadapter,missing,missing,present,missing
poe+,missing,missing,present,missing
poe+ ieee802.3atclass4,missing,missing,present,missing
poe+ irilluminatorwillturnoffifthetemperatureis65°c(149°f)orhigher.theilluminatorwilloperateat50%powerifthe,missing,missing,present,missing
"polish,traditionalchinese,dutch,czech,swedish,",missing,missing,missing,present
possibility to recognize or identify a person or object,missing,missing,missing,present
power and network,present,present,missing,missing
"power consumption4 without ir: 37-57v, 0.11-0.07a, 4.3w rtsp",present,present,missing,missing
power input4 without ir: ieee 802.3af type 1 poe connectivity,present,present,missing,missing
powerconsumption 25w(18wwithnoirorirdisabled),missing,missing,present,missing
poweror,missing,missing,present,missing
powersource poe ieee802.3afclass3,missing,missing,present,missing
prevents physical supply chain tampering. with signed,missing,missing,missing,present
privacymasks,missing,missing,missing,present
privacyzones upto64zones,missing,missing,present,missing
product markings,missing,missing,missing,present
"protection,aes-xts-plain64256bitsdcardencryption humidity:10-100%rh(condensing)",missing,missing,missing,present
protocols,missing,missing,present,missing
"protocols ipv6,ipv4,http,https,soap,dns,ntp,rtsp,rtcp,rtp,tcp,udp,igmpv3,icmp,dhcp,zeroconf,hsts,qos,",missing,missing,present,missing
purposes.,missing,missing,missing,present
"pvcfree,bfr/cfrfree",missing,missing,missing,present
"radio fccpart15subpartc,fcckdb447498,rss-210,rss-102",missing,missing,present,missing
reachinaccordancewith(ec)no1907/2006.forscip,missing,missing,missing,present
recognize 125px/m(38px/ft) 10.1m(33.1ft),missing,missing,missing,present
recognize 125px/m(38px/ft) 4.2m(13.8ft),missing,missing,missing,present
recycledaluminum:95%,missing,missing,missing,present
redundantpower seamlessfailoverbetweenpoeandauxandbackwithoutinterruptincameraoperation(forh6xonly),missing,missing,present,missing
"regulations including fire-safety for buses. it can withstand vibrations and a wide range of temperatures. additionally,",missing,missing,missing,present
resolutionandframerate.,missing,missing,missing,present
retention1 analytics,present,present,missing,missing
rfc 2326,present,present,missing,missing
rj-45 cable connector for network/poe,present,present,missing,missing
"rj45:male,10base-t/100base-tx",missing,missing,missing,present
rohsinaccordancewitheurohsdirective2011/65/,missing,missing,missing,present
rotation: 180°,present,present,missing,missing
rotation:±175°,missing,missing,missing,present
rtcbackupbattery 3vmanganeselithium,missing,missing,present,missing
"rtcp,icmp,dhcpv4/v6,arp,socks,ssh,lldp,cdp, snmptrapmessages",missing,missing,missing,present
rtsp 1.0,present,present,missing,missing
s6lm55,missing,missing,missing,present
safety,missing,missing,missing,present
"safetystandards ul62368-1,csa62368-1,iec/en62368-1,iec62471,ul2043plenum4",missing,missing,present,missing
scalable deployments. the cd22 includes an onboard cv25s ambarella processor to detect and alert on the presence of,present,present,missing,missing
"sceneprofiles:forensic,vivid,trafficoverview",missing,missing,missing,present
scheduledandrecurring:scheduledevent canada:ices-3(a)/nmb-3(a),missing,missing,missing,present
scream upto15meters,missing,missing,present,missing
screenedforconflictmineralsinaccordancewithoecd,missing,missing,missing,present
"secondary (16:9)2688x1520*,1920x1080,1280x720,768x (16:9)3840x2160*,2560x1440,1920x1080,1280x720,",missing,missing,present,missing
secure connections are provided through a common,missing,missing,missing,present
"secure keystore, to add a signature into the video stream",missing,missing,missing,present
secure&compliant,missing,missing,present,missing
"secureboot,encryptedfilesystem(aes-xts-plain64 -40°cto65°c(-40°fto149°f)",missing,missing,missing,present
"secureelement(cceal6+),system-on-chipsecurity",missing,missing,missing,present
"security passwordprotection,httpsencryption,digestauthentication,wsauthentication,useraccesslog,802.1xportbased",missing,missing,present,missing
seeoptionalaccessoriesforexchangeablelenses,missing,missing,missing,present
"selector,accessoryselector,lenscalculator",missing,missing,missing,present
sensor movement pan: 355°,present,present,missing,missing
sensor resolution1 3mp (2048 x 1536) day/night ir-cut fi lter for day and night function,present,present,missing,missing
shutterspeed,missing,missing,missing,present
signal-to-noiseratio(snr) >50d,missing,missing,present,missing
"simplifiedchinese,japanese,korean,portuguese,",missing,missing,missing,present
sm810-na-avo z-wavedoorcontactsensor,missing,missing,present,missing
"smartmotionrule eventsaresentforperson(includingcrawling)andvehiclepresent,againstdefaultunchangeableparameters",missing,missing,present,missing
smokealarm upto15meters,missing,missing,present,missing
software before accepting to install it. and the secure,missing,missing,missing,present
software capabilities,present,present,missing,missing
"software:signedos,bruteforcedelayprotection,",missing,missing,missing,present
solutions/edge-vault.,missing,missing,missing,present
sp816-na-avo z-waveoutdoormotionsensor,missing,missing,present,missing
sp817-na-avo z-waveindoormotionsensor,missing,missing,present,missing
specifications,missing,missing,present,missing
specificationsataxis.com/developer-community.,missing,missing,missing,present
standard audio settings,present,present,missing,missing
standard quality (sq): up to 600 kbps,present,present,missing,missing
standard video settings,present,present,missing,missing
standard. the calculations use the center of the image as,missing,missing,missing,present
standards,missing,missing,present,missing
"standards/ratings 2.2.9,ik11",missing,missing,present,missing
startup poe -10°cto+55°c(-14°fto -30°cto+65°c(-22°fto149°f)withieee802.3afclass3(13wpoe),missing,missing,present,missing
"stayalertwithreal-timenotificationsforgunshots1,breaking preservepeople’sprivacybytrackingandblurringpeopleand",missing,missing,present,missing
storagetemperature -10°cto+70°c(14°fto158°f),missing,missing,present,missing
"streaming multi-streamh.264,multi-streamh.265,motionjpeg",missing,missing,present,missing
"streamingprotocols rtp/udp,rtp/udpmulticast,rtp/rtsp/tcp,rtp/rtsp/http/tcp,rtp/rtsp/https/tcp,http,srtp",missing,missing,present,missing
streamreusefunctionality.,missing,missing,missing,present
substancecontrol,missing,missing,missing,present
supply chain,missing,missing,missing,present
support,missing,missing,present,missing
supported,missing,missing,missing,present
supportedanalyticsevents1,missing,missing,present,missing
supportedaudioanalyticsevents,missing,missing,present,missing
supportedclassifiedobjecttypes,missing,missing,present,missing
supportforaxiscameraapplicationplatformenabling,missing,missing,missing,present
supportformicrosd/microsdhc/microsdxccardwith,missing,missing,missing,present
supportforrecordingtonetwork-attachedstorage,missing,missing,missing,present
surfacemount orderoneof:,missing,missing,present,missing
sustainability,missing,missing,missing,present
system integration,missing,missing,missing,present
system on chip (soc),missing,missing,missing,present
system tools,missing,missing,missing,present
taacompliant,missing,missing,missing,present
tamperdetection theeventistriggeredwhenthesceneunexpectedlychanges.,missing,missing,present,missing
"tampering korea:ksc9835,ksc9832classa,",missing,missing,missing,present
teachbyexample,missing,missing,present,missing
"teachbyexample yes,whenusedwithavigiloncontrolcenter™oravigilonunityvideo",missing,missing,present,missing
tech specs,present,present,missing,missing
technology make the difference between seeing,missing,missing,missing,present
technology smartcodec,missing,missing,present,missing
temperature,missing,missing,present,missing
temperature 131°f),missing,missing,present,missing
temperature emc,missing,missing,missing,present
"temperature,ipaddressremoved,networklost,newip",missing,missing,missing,present
temperatureisbetween55°c(131°f)and65°c(149°f)and50%powerifbelow-25°c(-13°f),missing,missing,present,missing
temporalfilter(3dnoisereduction),missing,missing,missing,present
"tertiary (16:9)1280x720,768x432,640x360,512x288, (16:9)1920x10801280x720,768x432,640x360,512x",missing,missing,present,missing
"that a device can boot only with signed os, which",missing,missing,missing,present
"the axis lightfinder technology delivers high-resolution,",missing,missing,missing,present
the axis zipstream technology preserves all the,missing,missing,missing,present
the cd22 dome camera provides essential 3mp coverage in a variety of indoor spaces. with its 1 / 2.8” progressive cmos,present,present,missing,missing
"the cd22’s sleek design and ik08 impact rating enable organizations to deploy a durable, tamper-resistant camera while",present,present,missing,missing
"the customer. the amount of high quality video stored on the camera will depend on the amount of motion detected by the camera over time. to learn more, visit our website:",present,present,missing,missing
"the customer. the amount of hq video stored on the camera will depend on the amount of motion detected by the camera over time. to learn more, visit our website:",present,present,missing,missing
the event of a security breach. the secure keystore and,missing,missing,missing,present
"the image, and the calculated values can differ from the",missing,missing,missing,present
the reference point and consider lens distortion. the,missing,missing,missing,present
thecamera’sfieldofview.thebeamcanbeunidirectionalorbidirectional.,missing,missing,present,missing
this compact and discreet 2 mp onboard camera for indoor surveillance complies with transportation-industry,missing,missing,missing,present
tilt: 60°,present,present,missing,missing
tilt:15-90°,missing,missing,missing,present
time.,missing,missing,present,missing
tirescreech2 upto15meters,missing,missing,present,missing
"to learn more, visit: avigilon.com",missing,missing,present,missing
"to read more about axis edge vault, go to axis.com/",missing,missing,missing,present
"todownloaddocuments,gotoaxis.com/support/ lenses",missing,missing,missing,present
"toreadmoreaboutaxiscybersecuritysupport,goto lensm122.8mm,f1.2:horizontalfieldofview107°",missing,missing,missing,present
"toreadmoreaboutsustainabilityataxis,gotoaxis.",missing,missing,missing,present
"tp3827cleardomecover,tp3830topblackcover",missing,missing,missing,present
triggeringcameraandchoosetorecordaudioasneeded. authorizedpersonneltoliftitduringinvestigations.,missing,missing,present,missing
trouble for image usability and clarity. forensic wdr,missing,missing,missing,present
trustthatyourdataiswell-protectedwithadvanced,missing,missing,present,missing
uhsspeedclassu1,missing,missing,missing,present
ultrasonicpanicalarm3 upto40meters,missing,missing,present,missing
"unauthorized access. for instance, secure boot ensures",missing,missing,missing,present
unecer118,missing,missing,missing,present
"unique video signing key, which is securely stored in the",missing,missing,missing,present
unusualcrowdgrowth thiseventistriggeredwhenacrowdsizegrowsunexpectedly.,missing,missing,present,missing
unusualcrowdsize thiseventistriggeredwhenanunusualcrowdsizeisdetected.,missing,missing,present,missing
"uploadimagesorvideoclips:ftp,http,https,sftp,",missing,missing,missing,present
"upnp®,snmpv1/v2c/v3(mib-ii),dns/dnsv6,ddns, presetpositions",missing,missing,missing,present
upto4uniqueandconfigurablevideostreams1,missing,missing,missing,present
usa:fccpart15subpartbclassa,missing,missing,missing,present
usbport usb2.0,missing,missing,present,missing
utilization.auniquevideostreamcanbeservedtomanyvideoclientsinthenetworkusingmulticastorunicasttransportmethodviabuilt-in,missing,missing,missing,present
"uuid,seeaxis.com/partner.",missing,missing,missing,present
variants,missing,missing,missing,present
vbr/abr/mbrh.264andh.265,missing,missing,missing,present
"vcci, kcc, bis, nom, ul/cul/iec setup guide, t10 security torx screwdriver,",present,present,missing,missing
"vehicle analytics motion search, trajectory analysis",present,present,missing,missing
verticalangleof 4mp&8 (16:9)26°–57° (16:9)9°–23°,missing,missing,present,missing
verticalfieldofview:47° motionjpeg:15fps(50/60hz)inallresolutions,missing,missing,missing,present
verticalfieldofview:56°,missing,missing,missing,present
video,missing,missing,missing,present
video security cloud license pricing (new/capacity increase),present,present,missing,missing
video security cloud license pricing (renewal),present,present,missing,missing
"video:averagebitratedegradation,livestreamopen, japan:vcciclassa,",missing,missing,missing,present
videomanagementsoftwarefromaxis’partners,missing,missing,missing,present
videomanagementsystems,missing,missing,missing,present
videostreaming,missing,missing,missing,present
videostreamingindicator,missing,missing,missing,present
videotunedformaximalforensicusability.,missing,missing,missing,present
viewbasedon mp (4:3)26°–57° (4:3)9°–23°,missing,missing,present,missing
viewing station license pricing (new/capacity increase),present,present,missing,missing
viewing station license pricing (renewal),present,present,missing,missing
viewing station pricing,present,present,missing,missing
visibility is necessary.,present,present,missing,missing
vx52-hw vx52 viewing station $499,present,present,missing,missing
warranty,missing,missing,missing,present
warranty limited5yearwarranty(avigilon.com/warranty),missing,missing,present,missing
wdr,missing,missing,missing,present
"wdron upto106db(dualexposure,30fps)upto136db upto130db(dualexposure,30fps)",missing,missing,present,missing
"wdron upto120db(dualexposure,30fps)upto144db upto144db(dualexposure,20fpsorless)",missing,missing,present,missing
weight,missing,missing,missing,present
"weight body aluminum, plastic dome trim",present,present,missing,missing
weight indoor 1.21kg;2.66lbs 1.83kg;4.03lbs 1.63kg;3.59lbs,missing,missing,present,missing
whereitoriginated.,missing,missing,missing,present
"whitebalance automatic,manual",missing,missing,present,missing
widedynamicrange,missing,missing,missing,present
with -10°cto+55°c(-14°fto -40°cto+65°c(-40°fto149°f)withexternalpowerorieee802.3atclass4(25.5w,missing,missing,present,missing
with -10°cto+55°c(-14°fto -50°cto+65°c(-58°fto149°f)withexternalpowerorieee802.3atclass4(25.5w,missing,missing,present,missing
with axis tp3826-e housing this dome camera can be mounted on the outside of a bus. thanks to lightfinder and,missing,missing,missing,present
"with ir: 37-57v, 0.23-0.15a, 8.6w",present,present,missing,missing
with ir: ieee 802.3af type 1 poe,present,present,missing,missing
with mount plate,present,present,missing,missing
without mount plate,present,present,missing,missing
withoutir:0.006luxinmonochrome withoutir:0.008luxinmonochromemode;0.03luxincolormode,missing,missing,present,missing
withwdr:1/19000sto1/5s imagesettings,missing,missing,missing,present
"wlmt-1021 pendantwallarm,1.5""nptfemale,20cm(7.8"")long",missing,missing,present,missing
writtenbyericyoung(eay@cryptsoft.com).,missing,missing,missing,present
www.axis.com t10184436/en/m22.2/202511,missing,missing,missing,present
www.verkada.com sales@verkada.com 2,present,present,missing,missing
www.verkada.com sales@verkada.com 3,present,present,missing,missing
www.verkada.com sales@verkada.com 4,present,present,missing,missing
www.verkada.com sales@verkada.com 5,present,present,missing,missing
www.verkada.com sales@verkada.com 6,present,present,missing,missing
www.verkada.com sales@verkada.com 7,present,present,missing,missing
wwwwww..vveerrkkaaddaa..ccoomm 10122254 ssaalleess@@vveerrkkaaddaa..ccoomm 11,present,present,missing,missing
x.x mm,missing,missing,present,missing
"x960,768x576,640x480,512x384,384x288; 1600x1200,1280x960,768x576,640x480,512x384",missing,missing,present,missing
z-wave sensors,missing,missing,present,missing
z-wavecompatible ai-poweredvideoanalytics,missing,missing,present,missing
z-wavedoorcontactsensor(sm810),missing,missing,present,missing
z-waveindoormotionsensor(sp817),missing,missing,present,missing
z-waveoutdoormotionsensor(sp816),missing,missing,present,missing
z-wavepanicbutton(ac136),missing,missing,present,missing
zipstream,missing,missing,missing,present
"zones,finetuningofbehavioratlowlight,rotation:0°,",missing,missing,missing,present
"©2022–2025axiscommunicationsab.axiscommunications,axis,artpecandvapixareregisteredtrademarksof",missing,missing,missing,present
"©2025,avigiloncorporation.allrightsreserved.motorola,moto,motorolasolutionsandthestylizedmlogoaretrademarksorregisteredtrademarksof",missing,missing,present,missing
"ø: 146.0mm / 5.75in, h: 104.3mm / 4.11in",present,present,missing,missing
"ø: 146.0mm / 5.75in, h: 99.8mm / 3.93in",present,present,missing,missing
• 1 / 2.8” progressive cmos image sensor • onboard storage and processing for reduced,present,present,missing,missing
• 10 meters / 33 feet of ir range for nighttime viewing • 30 - 90 days (256gb - 768gb) of onboard storage,present,present,missing,missing
• 3mp resolution bandwidth consumption and coverage at scale,present,present,missing,missing
• onboard cv25s ambarella processor enables people • mounting plate and screw pack included,present,present,missing,missing
• redundant cloud backup and unlimited cloud-based,present,present,missing,missing
